DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
Amazônia Legal (residência): Sim
Class. Final: Ign/Branco, Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengue grave
Período:2014-2024
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"170307 BARRA DO OURO";-;2;-;-;4;2;3;1;3;35;4;10;64
"170310 BARROLANDIA";-;14;14;14;5;6;52;3;1;166;65;39;379
"170320 BERNARDO SAYAO";-;9;5;5;4;6;7;2;29;6;-;1;74
"170330 BOM JESUS DO TOCANTINS";-;5;23;25;8;2;21;1;-;41;1;2;129
"170360 BRASILANDIA DO TOCANTINS";-;3;1;3;1;-;4;-;16;6;-;-;34
"170370 BREJINHO DE NAZARE";-;-;39;16;4;3;19;10;300;41;9;253;694
"170380 BURITI DO TOCANTINS";-;-;8;36;15;1;-;2;-;4;3;11;80
"170382 CACHOEIRINHA";-;1;-;19;2;-;-;11;43;41;13;4;134
"170384 CAMPOS LINDOS";-;5;1;1;1;18;34;-;-;21;2;22;105
"170386 CARIRI DO TOCANTINS";-;16;2;6;6;44;5;35;1;32;32;3;182
"170388 CARMOLANDIA";-;2;11;25;5;1;6;2;2;38;8;13;113
"170389 CARRASCO BONITO";-;-;-;11;2;1;1;12;-;1;3;11;42
"170390 CASEARA";-;2;3;1;-;3;6;7;3;25;5;13;68
"170410 CENTENARIO";-;-;2;-;2;-;5;-;1;4;-;4;18
"170460 CHAPADA DE AREIA";-;6;2;6;1;-;1;1;4;5;-;5;31
"170510 CHAPADA DA NATIVIDADE";-;2;7;4;4;15;5;3;14;63;17;8;142
"170550 COLINAS DO TOCANTINS";-;40;24;9;26;10;10;5;341;185;72;1003;1725
"170555 COMBINADO";-;5;2;3;98;26;24;23;110;10;3;35;339
"170560 CONCEICAO DO TOCANTINS";-;1;4;10;27;2;31;30;3;77;5;13;203
"170600 COUTO MAGALHAES";-;-;12;3;18;3;8;10;22;12;1;5;94
"170610 CRISTALANDIA";-;2;13;84;6;1;6;6;7;10;14;5;154
"170625 CRIXAS DO TOCANTINS";-;-;-;7;4;-;1;5;-;2;6;2;27
"170650 DARCINOPOLIS";-;7;2;12;5;1;2;4;33;7;1;11;85
"170700 DIANOPOLIS";-;8;107;384;133;45;164;15;11;74;365;132;1438
"170710 DIVINOPOLIS DO TOCANTINS";-;29;111;90;17;14;46;8;1;62;3;2;383
"170720 DOIS IRMAOS DO TOCANTINS";2;11;29;81;11;4;28;1;6;28;18;7;226
"170730 DUERE";-;-;20;-;10;-;14;7;194;44;-;15;304
"170740 ESPERANTINA";-;1;1;5;17;11;4;-;-;-;7;12;58
"170755 FATIMA";-;6;3;-;1;1;6;2;5;15;4;2;45
"170765 FIGUEIROPOLIS";-;-;6;-;1;6;36;1;12;6;7;18;93
"170770 FILADELFIA";-;3;12;2;6;3;22;1;3;4;5;5;66
"170820 FORMOSO DO ARAGUAIA";-;154;107;317;6;32;429;18;38;190;24;51;1366
"170825 FORTALEZA DO TABOCAO";-;13;12;30;10;4;7;6;23;10;-;3;118
"170830 GOIANORTE";1;8;11;26;3;1;6;1;2;15;1;4;79
"170900 GOIATINS";-;15;10;2;1;1;5;-;47;56;11;43;191
"170930 GUARAI";-;48;22;61;83;15;113;2;142;142;37;13;678
"170950 GURUPI";-;50;71;221;116;47;282;205;28;305;260;202;1787
"170980 IPUEIRAS";-;1;6;9;-;5;8;-;14;25;1;6;75
"171050 ITACAJA";3;27;2;23;2;58;12;1;88;8;10;22;256
"171070 ITAGUATINS";-;7;5;21;7;3;8;6;1;14;17;3;92
"171090 ITAPIRATINS";-;1;5;8;1;3;5;1;38;30;-;55;147
"171110 ITAPORA DO TOCANTINS";-;3;9;20;2;2;14;9;4;118;-;2;183
"171150 JAU DO TOCANTINS";-;-;38;3;1;2;23;4;1;6;15;17;110
"171180 JUARINA";-;1;2;3;3;-;1;10;6;22;2;4;54
"171190 LAGOA DA CONFUSAO";-;16;116;412;58;3;293;24;25;226;6;6;1185
"171195 LAGOA DO TOCANTINS";-;6;17;19;1;1;11;1;2;11;5;8;82
"171200 LAJEADO";-;1;19;17;20;13;74;7;50;31;-;4;236
"171215 LAVANDEIRA";-;11;1;-;13;3;5;3;8;1;3;32;80
"171240 LIZARDA";-;2;-;14;1;-;14;1;1;3;-;6;42
"171245 LUZINOPOLIS";-;1;1;2;-;4;9;1;26;4;4;14;66
"171250 MARIANOPOLIS DO TOCANTINS";-;9;55;2;16;10;31;12;3;10;2;6;156
"171270 MATEIROS";-;-;1;1;2;2;5;-;-;9;4;1;25
"171280 MAURILANDIA DO TOCANTINS";-;5;3;37;7;1;18;-;-;11;2;17;101
"171320 MIRACEMA DO TOCANTINS";1;50;111;162;20;13;27;4;29;186;9;10;622
"171330 MIRANORTE";1;94;37;98;53;9;48;3;5;290;12;31;681
"171360 MONTE DO CARMO";-;-;5;14;2;14;108;13;15;25;15;9;220
"171370 MONTE SANTO DO TOCANTINS";-;-;13;17;1;2;6;-;16;31;1;9;96
"171380 PALMEIRAS DO TOCANTINS";-;2;1;5;4;1;4;3;3;14;4;8;49
"171395 MURICILANDIA";-;6;21;186;2;4;14;-;27;-;-;4;264
"171420 NATIVIDADE";-;1;17;13;7;155;54;26;12;73;12;6;376
"171430 NAZARE";-;3;-;111;52;7;5;-;1;20;1;13;213
"171488 NOVA OLINDA";-;6;13;35;65;11;25;14;38;26;14;34;281
"171500 NOVA ROSALANDIA";-;4;10;25;3;-;25;2;13;19;2;2;105
"171510 NOVO ACORDO";-;2;13;10;12;6;11;3;5;11;3;7;83
"171515 NOVO ALEGRE";-;3;13;37;27;-;2;1;11;33;5;44;176
"171525 NOVO JARDIM";-;15;4;53;13;-;50;-;8;79;119;85;426
"171550 OLIVEIRA DE FATIMA";-;2;1;3;-;6;28;1;78;45;14;1;179
"171570 PALMEIRANTE";-;-;1;1;9;3;12;-;6;19;2;9;62
"171575 PALMEIROPOLIS";-;37;107;16;2;14;42;1;9;15;33;293;569
"171610 PARAISO DO TOCANTINS";-;155;232;134;76;63;568;105;104;799;267;59;2562
"171620 PARANA";-;25;89;15;88;7;86;5;11;7;3;49;385
"171630 PAU D'ARCO";-;2;10;3;3;-;1;-;122;9;6;3;159
"171650 PEDRO AFONSO";1;9;33;23;34;10;66;3;9;176;15;7;386
"171660 PEIXE";-;19;6;10;3;1;170;4;7;49;7;83;359
"171665 PEQUIZEIRO";-;-;6;-;14;4;21;1;1;9;4;17;77
"171670 COLMEIA";-;11;6;3;9;9;25;1;9;65;2;6;146
"171700 PINDORAMA DO TOCANTINS";-;2;6;46;5;48;19;2;17;11;4;12;172
"171720 PIRAQUE";-;3;2;9;4;-;2;2;7;34;2;3;68
"171750 PIUM";-;45;92;174;43;6;11;3;9;59;111;50;603
"171780 PONTE ALTA DO BOM JESUS";-;3;8;4;6;5;73;-;4;20;20;13;156
"171790 PONTE ALTA DO TOCANTINS";-;8;13;53;3;2;48;4;64;129;11;30;365
"171800 PORTO ALEGRE DO TOCANTINS";-;1;10;-;2;8;23;-;5;26;6;22;103
"171820 PORTO NACIONAL";-;62;118;61;54;112;1348;32;677;576;99;123;3262
"171830 PRAIA NORTE";-;-;1;61;56;9;46;1;3;13;14;6;210
"171840 PRESIDENTE KENNEDY";-;4;8;10;27;-;4;3;28;20;6;11;121
"171845 PUGMIL";-;9;19;3;5;4;21;2;1;87;13;4;168
"171850 RECURSOLANDIA";-;-;1;19;-;2;13;-;-;10;6;23;74
"171855 RIACHINHO";-;1;17;3;3;-;11;3;5;10;3;3;59
"171865 RIO DA CONCEICAO";-;2;19;36;54;-;8;1;-;42;46;184;392
"171870 RIO DOS BOIS";-;5;15;27;14;15;29;8;25;133;1;5;277
"171875 RIO SONO";1;5;17;3;8;1;12;5;5;41;26;9;133
"171880 SAMPAIO";-;1;6;6;12;2;5;3;3;10;-;35;83
"171884 SANDOLANDIA";-;46;18;13;3;4;38;1;21;3;2;8;157
"171886 SANTA FE DO ARAGUAIA";-;8;5;13;6;2;16;13;65;68;3;2;201
"171888 SANTA MARIA DO TOCANTINS";-;-;7;18;6;5;-;1;-;39;1;6;83
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;-;-;11;1;2;35;3;6;58
"171890 SANTA ROSA DO TOCANTINS";-;-;2;6;2;5;32;6;4;52;1;3;113
"171900 SANTA TEREZA DO TOCANTINS";-;-;5;4;2;4;17;1;34;12;5;8;92
"172000 SANTA TEREZINHA DO TOCANTINS";-;2;-;3;10;10;-;7;25;7;1;3;68
"172010 SAO BENTO DO TOCANTINS";-;2;2;20;3;-;16;4;5;25;25;16;118
"172015 SAO FELIX DO TOCANTINS";-;1;1;-;1;1;4;-;1;37;-;-;46
"172020 SAO MIGUEL DO TOCANTINS";-;3;18;53;12;-;22;4;-;20;4;13;149
"172025 SAO SALVADOR DO TOCANTINS";-;7;5;11;8;2;1;1;-;-;-;29;64
"172030 SAO SEBASTIAO DO TOCANTINS";-;-;1;-;3;2;8;-;-;-;3;12;29
"172049 SAO VALERIO";-;2;17;34;17;1;70;-;185;21;28;24;399
"172065 SILVANOPOLIS";-;3;12;70;6;3;52;2;19;154;3;36;360
"172080 SITIO NOVO DO TOCANTINS";-;12;15;42;10;2;7;6;4;4;15;31;148
"172085 SUCUPIRA";-;1;2;2;1;-;11;-;-;49;-;2;68
"172090 TAGUATINGA";-;8;32;21;7;13;23;8;28;27;12;187;366
"172093 TAIPAS DO TOCANTINS";-;6;4;1;-;1;90;8;44;42;10;10;216
"172097 TALISMA";-;75;3;1;4;36;39;2;8;59;29;43;299
"172100 PALMAS";12;1244;4317;2018;1188;1189;5339;509;4266;11851;500;491;32924
"172110 TOCANTINIA";-;41;11;61;24;10;59;10;3;116;-;7;342
"172120 TOCANTINOPOLIS";-;84;117;318;140;26;138;22;32;281;48;80;1286
"172125 TUPIRAMA";-;6;6;9;-;-;28;-;3;19;2;7;80
"172130 TUPIRATINS";-;-;-;-;1;-;5;-;8;43;5;35;97
"172208 WANDERLANDIA";-;2;7;13;8;2;9;2;15;8;2;4;72
"172210 XAMBIOA";-;1;4;11;1;1;15;8;21;27;1;6;96
"210005 ACAILANDIA";-;27;48;6;2;-;3;-;1;52;18;97;254
"210020 ALCANTARA";-;4;10;40;14;3;1;3;10;5;1;15;106
"210040 ALTAMIRA DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;2;2
"210043 ALTO ALEGRE DO MARANHAO";-;-;3;2;1;-;55;2;2;-;-;44;109
"210047 ALTO ALEGRE DO PINDARE";-;7;9;7;13;35;8;4;2;18;11;12;126
"210050 ALTO PARNAIBA";-;10;9;32;28;27;7;31;2;141;19;30;336
"210055 AMAPA DO MARANHAO";-;-;4;-;-;-;1;3;1;-;2;36;47
"210060 AMARANTE DO MARANHAO";-;10;46;30;86;1;61;11;7;7;40;19;318
"210070 ANAJATUBA";-;-;1;1;-;5;3;1;-;4;6;11;32
"210083 APICUM-ACU";-;21;-;1;-;2;1;-;1;2;13;30;71
"210087 ARAGUANA";-;2;2;92;-;-;1;1;-;2;1;16;117
"210095 ARAME";-;23;12;77;8;14;4;6;2;17;8;14;185
"210100 ARARI";-;2;4;4;-;2;6;-;4;177;66;35;300
"210110 AXIXA";-;-;15;29;1;-;5;-;-;1;2;8;61
"210120 BACABAL";-;4;58;203;40;1;6;7;3;15;92;44;473
"210125 BACABEIRA";-;7;12;17;7;4;24;28;20;14;8;55;196
"210130 BACURI";-;-;1;1;-;2;1;1;1;1;4;65;77
"210135 BACURITUBA";-;-;-;-;-;-;1;-;-;-;-;1;2
"210140 BALSAS";-;15;65;1461;1133;14;230;164;46;250;84;198;3660
"210160 BARRA DO CORDA";-;76;518;6429;2077;400;539;440;511;165;92;216;11463
"210177 BELA VISTA DO MARANHAO";-;-;9;5;1;-;-;-;-;1;1;1;18
"210180 BENEDITO LEITE";-;-;-;1;7;1;13;-;71;6;1;96;196
"210190 BEQUIMAO";-;9;142;128;69;1;1;-;4;18;6;97;475
"210193 BERNARDO DO MEARIM";-;-;2;5;1;-;1;3;-;-;1;3;16
"210197 BOA VISTA DO GURUPI";-;-;-;-;-;1;-;1;-;2;1;8;13
"210200 BOM JARDIM";-;43;7;136;21;6;2;2;-;4;-;41;262
"210203 BOM JESUS DAS SELVAS";-;28;12;518;2;-;-;2;2;11;4;9;588
"210207 BOM LUGAR";-;-;11;1;4;-;1;7;1;2;7;8;42
"210215 BREJO DE AREIA";-;-;1;2;3;-;1;-;3;-;2;3;15
"210230 BURITI BRAVO";-;4;77;209;1;2;-;1;1;4;-;90;389
"210232 BURITICUPU";-;35;207;15;-;4;2;6;3;51;6;345;674
"210235 BURITIRANA";-;7;4;12;6;3;4;9;-;1;4;109;159
"210237 CACHOEIRA GRANDE";-;-;-;2;-;-;1;1;-;3;-;9;16
"210240 CAJAPIO";-;-;-;-;-;-;-;2;-;-;1;1;4
"210250 CAJARI";-;-;1;-;-;-;-;-;-;2;-;2;5
"210255 CAMPESTRE DO MARANHAO";-;3;329;147;155;8;140;7;1;27;13;49;879
"210260 CANDIDO MENDES";-;18;1;-;-;-;-;-;-;-;1;1;21
"210270 CANTANHEDE";-;6;27;66;-;1;2;1;22;1;9;10;145
"210275 CAPINZAL DO NORTE";-;1;2;-;-;2;19;1;1;2;3;7;38
"210280 CAROLINA";-;56;36;88;25;16;16;16;1;11;12;27;304
"210290 CARUTAPERA";-;4;2;1;-;1;15;2;-;3;6;43;77
"210310 CEDRAL";-;2;1;-;-;-;-;-;-;-;-;1;4
"210312 CENTRAL DO MARANHAO";-;-;-;-;-;-;-;-;-;2;1;4;7
"210315 CENTRO DO GUILHERME";-;-;-;2;1;1;-;2;-;1;1;4;12
"210317 CENTRO NOVO DO MARANHAO";-;1;1;-;-;-;1;1;1;6;1;14;26
"210325 CIDELANDIA";-;12;11;11;18;2;24;-;-;56;8;39;181
"210330 CODO";-;5;22;6;7;1;13;2;5;46;10;11;128
"210350 COLINAS";-;6;7;13;5;-;160;18;2;53;11;153;428
"210355 CONCEICAO DO LAGO-ACU";-;1;1;-;-;-;-;-;-;2;-;6;10
"210360 COROATA";-;2;-;14;14;9;7;-;1;9;4;74;134
"210370 CURURUPU";-;33;157;447;22;2;5;12;5;6;7;18;714
"210375 DAVINOPOLIS";-;5;13;37;6;-;2;-;-;3;18;46;130
"210380 DOM PEDRO";-;2;22;5;6;-;37;-;2;12;3;6;95
"210400 ESPERANTINOPOLIS";-;4;-;32;3;3;3;-;1;3;4;22;75
"210405 ESTREITO";-;17;4;13;71;11;32;12;64;32;15;39;310
"210407 FEIRA NOVA DO MARANHAO";-;-;10;18;26;3;168;20;-;5;17;69;336
"210408 FERNANDO FALCAO";-;-;18;17;8;-;1;-;-;-;2;9;55
"210409 FORMOSA DA SERRA NEGRA";-;5;8;16;17;5;147;85;3;31;10;19;346
"210410 FORTALEZA DOS NOGUEIRAS";-;1;3;104;161;8;21;144;4;36;4;19;505
"210420 FORTUNA";-;-;29;201;47;1;46;1;30;1;2;36;394
"210430 GODOFREDO VIANA";-;8;-;-;1;-;3;-;1;2;-;29;44
"210440 GONCALVES DIAS";-;-;4;1;-;1;10;-;2;1;28;119;166
"210450 GOVERNADOR ARCHER";-;18;28;45;2;2;1;-;-;12;7;50;165
"210455 GOVERNADOR EDISON LOBAO";-;13;24;52;33;35;104;16;17;21;34;29;378
"210460 GOVERNADOR EUGENIO BARROS";-;1;1;1;-;-;-;-;-;9;119;4;135
"210462 GOVERNADOR LUIZ ROCHA";-;-;1;-;15;5;1;1;1;-;1;19;44
"210465 GOVERNADOR NEWTON BELLO";-;5;-;2;-;4;3;-;1;1;5;47;68
"210467 GOVERNADOR NUNES FREIRE";-;1;-;406;6;3;-;3;-;5;1;11;436
"210470 GRACA ARANHA";-;-;3;2;3;-;3;-;-;1;1;25;38
"210480 GRAJAU";-;4;26;91;8;3;9;-;7;132;20;112;412
"210490 GUIMARAES";-;-;8;-;-;-;-;-;-;-;1;6;15
"210510 ICATU";-;1;1;1;-;-;3;-;1;1;2;12;22
"210515 IGARAPE DO MEIO";-;1;30;5;20;2;3;-;4;6;2;14;87
"210520 IGARAPE GRANDE";-;-;-;-;1;3;63;1;1;6;4;38;117
"210530 IMPERATRIZ";-;113;180;568;213;43;125;30;12;257;287;660;2488
"210535 ITAIPAVA DO GRAJAU";-;8;8;175;1;-;5;-;1;-;-;15;213
"210540 ITAPECURU MIRIM";-;-;22;15;7;32;67;17;5;9;10;34;218
"210542 ITINGA DO MARANHAO";-;37;-;73;42;5;19;16;2;33;43;8;278
"210545 JATOBA";-;1;1;-;-;-;12;1;1;1;1;176;194
"210547 JENIPAPO DOS VIEIRAS";-;-;-;50;41;1;18;1;13;-;1;76;201
"210550 JOAO LISBOA";-;4;19;237;14;2;9;1;-;6;4;57;353
"210560 JOSELANDIA";-;-;4;2;-;-;12;2;2;-;25;5;52
"210565 JUNCO DO MARANHAO";-;3;6;3;-;-;-;-;-;2;-;7;21
"210570 LAGO DA PEDRA";-;13;18;17;27;3;14;22;7;10;3;8;142
"210580 LAGO DO JUNCO";-;-;-;-;-;-;14;-;1;2;14;21;52
"210590 LAGO VERDE";-;18;2;35;2;-;-;1;-;2;2;27;89
"210594 LAGO DOS RODRIGUES";-;1;2;13;-;-;-;-;-;7;-;10;33
"210596 LAGOA GRANDE DO MARANHAO";-;2;-;92;3;16;43;3;3;-;1;9;172
"210598 LAJEADO NOVO";-;10;26;7;-;1;6;14;9;47;30;44;194
"210600 LIMA CAMPOS";-;-;1;1;-;-;2;-;-;-;1;4;9
"210610 LORETO";-;-;2;3;41;-;1;4;1;18;13;19;102
"210620 LUIS DOMINGUES";-;-;-;-;-;-;1;-;-;-;1;15;17
"210632 MARACACUME";-;6;16;110;1;91;23;1;5;1;3;62;319
"210635 MARAJA DO SENA";-;-;-;-;-;-;-;-;-;-;-;2;2
"210637 MARANHAOZINHO";-;-;-;26;1;-;3;-;-;4;4;13;51
"210650 MATINHA";-;2;2;5;-;-;2;1;-;5;-;5;22
"210663 MATOES DO NORTE";-;-;3;23;-;4;1;-;-;1;3;19;54
"210670 MIRADOR";-;2;11;3;-;-;2;3;-;3;-;4;28
"210675 MIRANDA DO NORTE";-;5;21;411;1;17;3;3;-;18;22;38;539
"210680 MIRINZAL";-;6;7;1;-;-;2;-;-;-;3;4;23
"210690 MONCAO";-;1;2;21;-;-;2;-;2;3;3;144;178
"210700 MONTES ALTOS";-;5;-;3;17;5;22;4;-;4;2;63;125
"210710 MORROS";-;1;2;6;8;-;1;-;-;3;-;28;49
"210725 NOVA COLINAS";-;-;-;5;10;1;9;34;-;2;1;3;65
"210730 NOVA IORQUE";-;-;5;8;7;6;3;-;-;1;4;23;57
"210735 NOVA OLINDA DO MARANHAO";-;31;107;158;-;-;-;-;-;4;2;3;305
"210740 OLHO D'AGUA DAS CUNHAS";-;-;-;1;-;-;34;1;-;-;4;13;53
"210745 OLINDA NOVA DO MARANHAO";-;9;-;1;-;-;1;1;-;3;-;5;20
"210750 PACO DO LUMIAR";-;51;114;178;30;26;65;3;2;48;75;66;658
"210760 PALMEIRANDIA";-;1;3;-;-;-;-;-;-;1;-;7;12
"210770 PARAIBANO";-;3;102;113;62;3;71;3;34;261;40;87;779
"210800 PASTOS BONS";-;-;28;6;5;-;2;38;-;2;1;388;470
"210810 PAULO RAMOS";-;2;-;-;1;1;7;1;5;14;2;13;46
"210820 PEDREIRAS";-;26;37;16;3;4;3;3;3;9;193;40;337
"210825 PEDRO DO ROSARIO";-;-;12;-;-;-;1;-;-;3;3;10;29
"210830 PENALVA";-;-;1;1;-;-;-;-;-;4;7;5;18
"210840 PERI MIRIM";-;26;53;5;-;-;-;-;1;-;-;3;88
"210845 PERITORO";-;1;14;12;5;-;9;1;1;1;1;3;48
"210850 PINDARE-MIRIM";-;8;7;10;63;1;2;1;2;11;5;8;118
"210860 PINHEIRO";-;130;298;6;3;4;13;3;5;26;167;53;708
"210870 PIO XII";-;5;14;6;6;2;11;1;-;14;8;26;93
"210880 PIRAPEMAS";-;-;15;8;-;1;2;2;5;8;1;47;89
"210890 POCAO DE PEDRAS";-;-;4;13;2;1;49;2;1;3;6;13;94
"210900 PORTO FRANCO";-;4;21;21;4;3;11;2;10;80;12;33;201
"210905 PORTO RICO DO MARANHAO";-;1;3;15;1;-;-;-;1;2;4;-;27
"210910 PRESIDENTE DUTRA";-;1;19;75;3;2;46;1;-;7;8;32;194
"210920 PRESIDENTE JUSCELINO";-;4;4;3;-;1;1;1;2;1;1;3;21
"210923 PRESIDENTE MEDICI";-;-;74;-;-;-;-;1;-;-;-;1;76
"210927 PRESIDENTE SARNEY";-;5;7;2;-;79;99;26;1;-;14;88;321
"210930 PRESIDENTE VARGAS";-;2;15;8;2;3;1;-;-;3;5;6;45
"210945 RAPOSA";-;4;6;13;5;6;1;3;-;8;18;30;94
"210950 RIACHAO";-;3;11;96;32;9;10;15;2;2;18;13;211
"210955 RIBAMAR FIQUENE";-;4;2;9;-;-;4;-;1;12;17;11;60
"210960 ROSARIO";-;27;119;220;8;3;9;41;3;4;9;28;471
"210970 SAMBAIBA";-;-;-;-;13;1;1;2;-;14;-;14;45
"210975 SANTA FILOMENA DO MARANHAO";-;-;1;15;-;-;39;-;-;2;-;3;60
"210980 SANTA HELENA";-;32;83;2;-;11;9;-;-;27;112;14;290
"210990 SANTA INES";-;12;32;10;29;15;42;3;14;23;42;82;304
"211000 SANTA LUZIA";-;8;19;20;-;6;9;2;3;22;153;39;281
"211003 SANTA LUZIA DO PARUA";-;10;15;-;5;1;70;1;-;3;1;8;114
"211020 SANTA RITA";-;5;14;20;3;7;6;5;11;24;4;40;139
"211030 SANTO ANTONIO DOS LOPES";-;1;-;3;-;-;-;-;-;-;-;33;37
"211050 SAO BENTO";-;1;7;8;-;-;1;1;-;3;2;9;32
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;12;-;-;-;27;6;2;14;61
"211070 SAO DOMINGOS DO MARANHAO";-;25;28;26;1;-;19;6;-;3;-;64;172
"211080 SAO FELIX DE BALSAS";-;-;-;-;71;1;-;-;1;-;1;1;75
"211085 SAO FRANCISCO DO BREJAO";-;4;10;59;30;4;11;2;-;7;70;14;211
"211100 SAO JOAO BATISTA";-;-;-;2;-;-;1;1;-;2;1;-;7
"211102 SAO JOAO DO CARU";-;1;-;2;-;-;1;2;-;6;2;20;34
"211105 SAO JOAO DO PARAISO";-;9;15;59;8;5;44;8;5;8;6;41;208
"211107 SAO JOAO DO SOTER";-;5;1;4;2;3;1;-;-;1;-;31;48
"211120 SAO JOSE DE RIBAMAR";-;41;330;850;225;117;127;44;12;128;133;106;2113
"211125 SAO JOSE DOS BASILIOS";-;1;5;32;14;-;59;-;2;11;-;16;140
"211130 SAO LUIS";-;929;2425;4783;1018;572;1043;734;154;2126;1503;1375;16662
"211140 SAO LUIS GONZAGA DO MARANHAO";-;1;1;-;11;9;16;3;2;9;8;17;77
"211150 SAO MATEUS DO MARANHAO";-;1;26;61;-;-;35;8;3;12;21;275;442
"211153 SAO PEDRO DA AGUA BRANCA";-;1;1;289;1;2;43;1;1;10;17;45;411
"211157 SAO PEDRO DOS CRENTES";-;-;10;7;10;2;332;115;1;11;49;144;681
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;13;42;81;2;22;9;-;196;4;6;375
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;129;-;-;2;-;-;2;-;1;134
"211167 SAO ROBERTO";-;-;-;-;1;1;8;-;-;-;-;8;18
"211170 SAO VICENTE FERRER";-;3;2;-;-;-;-;-;-;1;1;6;13
"211172 SATUBINHA";-;-;1;7;1;-;5;7;1;10;10;42;84
"211174 SENADOR ALEXANDRE COSTA";-;-;71;33;-;2;1;-;-;5;-;29;141
"211176 SENADOR LA ROCQUE";-;2;1;48;4;4;23;5;-;5;1;8;101
"211178 SERRANO DO MARANHAO";-;1;-;1;-;-;-;-;-;-;-;8;10
"211180 SITIO NOVO";-;40;4;9;1;10;91;36;4;16;97;108;416
"211190 SUCUPIRA DO NORTE";-;1;1;1;1;-;1;1;1;5;30;105;147
"211200 TASSO FRAGOSO";-;4;45;106;25;4;3;93;20;80;34;90;504
"211210 TIMBIRAS";-;2;6;1;-;-;1;1;-;2;2;5;20
"211223 TRIZIDELA DO VALE";-;12;4;29;2;6;4;6;2;6;24;8;103
"211227 TUFILANDIA";-;-;-;1;-;-;1;-;-;1;-;5;8
"211230 TUNTUM";-;14;86;48;4;2;70;1;3;4;1;48;281
"211240 TURIACU";-;3;-;82;29;3;-;1;-;3;1;32;154
"211245 TURILANDIA";-;62;139;17;8;10;25;6;-;2;80;105;454
"211270 VARGEM GRANDE";-;14;67;105;11;4;2;-;2;4;2;1;212
"211280 VIANA";-;5;10;3;4;5;10;1;4;5;-;5;52
"211285 VILA NOVA DOS MARTIRIOS";-;6;-;65;17;3;11;-;1;2;5;212;322
"211290 VITORIA DO MEARIM";-;-;2;7;1;2;1;-;1;15;6;10;45
"211300 VITORINO FREIRE";-;2;2;38;2;2;2;-;-;3;4;2;57
"211400 ZE DOCA";-;25;150;573;5;5;32;22;4;22;2;90;930
" MUNICIPIO IGNORADO - MT";-;1;-;-;-;-;-;-;-;-;-;-;1
"510010 ACORIZAL";1;7;34;27;23;3;1;11;78;55;52;8;300
"510020 AGUA BOA";1;8;77;317;11;27;152;32;46;538;336;104;1649
"510025 ALTA FLORESTA";-;626;770;1898;442;135;135;856;1949;802;575;297;8485
"510030 ALTO ARAGUAIA";-;16;170;217;35;148;510;127;50;178;40;172;1663
"510035 ALTO BOA VISTA";-;2;4;25;2;28;15;2;-;10;9;117;214
"510040 ALTO GARCAS";-;3;80;42;9;10;38;134;86;300;71;530;1303
"510050 ALTO PARAGUAI";-;11;5;17;3;2;1;23;27;5;9;218;321
"510060 ALTO TAQUARI";-;14;136;28;12;10;179;41;6;151;35;336;948
"510080 APIACAS";-;3;2;8;-;-;-;5;12;31;56;36;153
"510100 ARAGUAIANA";-;2;5;12;9;5;65;73;48;76;67;139;501
"510120 ARAGUAINHA";-;1;8;15;4;2;33;5;1;44;26;-;139
"510125 ARAPUTANGA";-;45;95;47;33;10;21;145;112;79;225;259;1071
"510130 ARENAPOLIS";-;4;37;20;19;88;16;101;6;60;12;150;513
"510140 ARIPUANA";-;60;434;546;75;30;57;132;185;101;155;183;1958
"510160 BARAO DE MELGACO";-;-;-;1;-;-;3;4;-;7;3;3;21
"510170 BARRA DO BUGRES";-;5;18;17;13;58;53;201;43;170;40;1704;2322
"510180 BARRA DO GARCAS";2;41;240;440;18;184;147;229;248;829;507;712;3597
"510185 BOM JESUS DO ARAGUAIA";-;30;25;122;-;225;125;28;1;101;58;68;783
"510190 BRASNORTE";-;19;72;36;16;21;5;219;18;159;101;72;738
"510250 CACERES";-;75;78;35;76;140;73;941;142;76;625;4152;6413
"510260 CAMPINAPOLIS";-;2;27;21;2;3;50;35;4;58;101;64;367
"510263 CAMPO NOVO DO PARECIS";-;11;842;67;22;56;29;1082;31;1137;368;293;3938
"510267 CAMPO VERDE";-;47;393;440;49;29;110;942;342;252;887;1365;4856
"510268 CAMPOS DE JULIO";-;79;27;71;9;59;51;307;15;59;432;124;1233
"510269 CANABRAVA DO NORTE";-;19;6;69;2;-;96;9;112;97;31;12;453
"510270 CANARANA";1;6;276;370;22;73;236;18;20;663;147;160;1992
"510279 CARLINDA";-;36;79;135;17;7;5;351;89;116;22;147;1004
"510285 CASTANHEIRA";-;26;102;53;12;-;-;43;24;6;90;63;419
