DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Notificações por Município de residência e Ano 1º Sintoma(s)
Amazônia Legal (residência): Sim
Classifica. Final: Ign/Ñ preenchido, Dengue Clássico, Dengue Com Complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"210315 CENTRO DO GUILHERME";-;-;-;-;6;-;6
"210317 CENTRO NOVO DO MARANHAO";-;5;-;-;1;1;7
"210325 CIDELANDIA";-;-;-;4;12;3;19
"210330 CODO";102;152;100;-;8;7;369
"210350 COLINAS";191;98;58;94;22;4;467
"210355 CONCEICAO DO LAGO-ACU";-;-;3;-;7;-;10
"210360 COROATA";-;11;17;6;9;1;44
"210370 CURURUPU";-;6;6;16;2;3;33
"210375 DAVINOPOLIS";33;17;9;-;1;2;62
"210380 DOM PEDRO";-;-;2;1;5;5;13
"210400 ESPERANTINOPOLIS";9;23;-;1;9;13;55
"210405 ESTREITO";29;40;1;-;48;17;135
"210407 FEIRA NOVA DO MARANHAO";41;14;22;12;8;2;99
"210408 FERNANDO FALCAO";1;5;24;-;4;-;34
"210409 FORMOSA DA SERRA NEGRA";13;11;14;17;1;2;58
"210410 FORTALEZA DOS NOGUEIRAS";1;1;14;3;-;2;21
"210420 FORTUNA";2;119;14;12;13;8;168
"210430 GODOFREDO VIANA";-;1;-;-;1;-;2
"210440 GONCALVES DIAS";-;49;27;3;13;12;104
"210450 GOVERNADOR ARCHER";-;1;2;-;-;2;5
"210455 GOVERNADOR EDISON LOBAO";44;-;2;1;-;-;47
"210460 GOVERNADOR EUGENIO BARROS";78;24;2;11;9;24;148
"210462 GOVERNADOR LUIZ ROCHA";-;70;32;-;-;-;102
"210465 GOVERNADOR NEWTON BELLO";27;27;77;-;-;-;131
"210467 GOVERNADOR NUNES FREIRE";16;39;63;-;4;8;130
"210470 GRACA ARANHA";46;39;7;76;3;27;198
"210480 GRAJAU";345;120;71;33;199;39;807
"210490 GUIMARAES";-;7;-;-;-;6;13
"210510 ICATU";2;60;11;6;12;4;95
"210515 IGARAPE DO MEIO";-;-;-;2;-;5;7
"210520 IGARAPE GRANDE";-;1;6;1;-;-;8
"210530 IMPERATRIZ";616;121;206;37;19;36;1035
"210535 ITAIPAVA DO GRAJAU";-;3;88;23;5;33;152
"210540 ITAPECURU MIRIM";48;412;278;53;54;114;959
"210542 ITINGA DO MARANHAO";8;7;-;-;-;4;19
"210545 JATOBA";30;15;5;1;-;17;68
"210547 JENIPAPO DOS VIEIRAS";20;537;181;82;48;8;876
"210550 JOAO LISBOA";1;12;-;1;16;8;38
"210560 JOSELANDIA";121;189;133;7;76;28;554
"210565 JUNCO DO MARANHAO";2;2;2;-;-;-;6
"210570 LAGO DA PEDRA";5;7;7;23;81;425;548
"210580 LAGO DO JUNCO";-;-;1;-;-;16;17
"210590 LAGO VERDE";-;3;-;-;-;-;3
"210594 LAGO DOS RODRIGUES";-;-;2;-;22;3;27
"210596 LAGOA GRANDE DO MARANHAO";-;3;-;-;-;-;3
"210598 LAJEADO NOVO";2;2;5;-;1;23;33
"210600 LIMA CAMPOS";1;12;19;9;3;-;44
"210610 LORETO";3;2;-;-;-;-;5
"210620 LUIS DOMINGUES";1;12;-;-;10;3;26
"210632 MARACACUME";-;3;-;-;1;1;5
"210635 MARAJA DO SENA";-;-;-;-;1;-;1
"210637 MARANHAOZINHO";1;1;-;-;-;-;2
"210650 MATINHA";-;2;-;-;-;-;2
"210663 MATOES DO NORTE";9;12;5;-;-;-;26
"210670 MIRADOR";115;19;9;5;99;76;323
"210675 MIRANDA DO NORTE";15;20;29;1;9;28;102
"210680 MIRINZAL";-;-;14;3;20;54;91
"210690 MONCAO";-;2;-;-;2;2;6
"210700 MONTES ALTOS";2;-;11;6;-;1;20
"210710 MORROS";8;296;32;-;27;28;391
"210725 NOVA COLINAS";36;4;11;2;-;2;55
"210730 NOVA IORQUE";24;214;107;21;42;6;414
"210735 NOVA OLINDA DO MARANHAO";-;-;-;-;-;2;2
"210740 OLHO D'AGUA DAS CUNHAS";12;33;8;9;-;5;67
"210745 OLINDA NOVA DO MARANHAO";-;1;-;-;-;-;1
"210750 PACO DO LUMIAR";133;132;43;19;141;56;524
"210770 PARAIBANO";6;40;28;-;1;2;77
"210800 PASTOS BONS";193;76;91;4;95;63;522
"210810 PAULO RAMOS";-;-;-;-;1;-;1
"210820 PEDREIRAS";9;73;212;2;1;18;315
"210830 PENALVA";1;-;-;1;22;16;40
"210840 PERI MIRIM";-;-;-;-;-;1;1
"210845 PERITORO";-;3;-;-;-;-;3
"210850 PINDARE-MIRIM";2;10;5;1;30;23;71
"210860 PINHEIRO";10;75;5;8;25;14;137
"210870 PIO XII";-;15;5;-;3;7;30
"210880 PIRAPEMAS";-;58;12;-;-;-;70
"210890 POCAO DE PEDRAS";-;82;9;18;97;35;241
"210900 PORTO FRANCO";9;7;135;-;12;2;165
"210905 PORTO RICO DO MARANHAO";3;16;1;-;-;-;20
"210910 PRESIDENTE DUTRA";20;50;29;1;6;26;132
"210920 PRESIDENTE JUSCELINO";6;2;1;-;8;1;18
"210923 PRESIDENTE MEDICI";-;9;1;-;4;1;15
"210930 PRESIDENTE VARGAS";-;1;1;1;1;-;4
"210945 RAPOSA";3;103;4;3;14;26;153
"210950 RIACHAO";73;13;9;2;12;4;113
"210955 RIBAMAR FIQUENE";-;3;-;-;-;1;4
"210960 ROSARIO";104;259;18;4;56;2;443
"210970 SAMBAIBA";-;2;1;-;-;3;6
"210975 SANTA FILOMENA DO MARANHAO";-;-;1;-;10;2;13
"210980 SANTA HELENA";-;1;1;-;-;16;18
"210990 SANTA INES";225;200;63;37;177;99;801
"211000 SANTA LUZIA";9;45;17;3;8;44;126
"211003 SANTA LUZIA DO PARUA";-;-;3;-;11;4;18
"211020 SANTA RITA";2;14;19;2;1;7;45
"211030 SANTO ANTONIO DOS LOPES";-;1;4;-;60;81;146
"211050 SAO BENTO";-;-;-;-;2;-;2
"211065 SAO DOMINGOS DO AZEITAO";34;7;16;-;8;22;87
"211070 SAO DOMINGOS DO MARANHAO";1;11;2;1;-;1;16
"211080 SAO FELIX DE BALSAS";8;-;-;-;4;4;16
"211085 SAO FRANCISCO DO BREJAO";26;47;95;15;32;14;229
"211100 SAO JOAO BATISTA";-;1;-;-;1;-;2
"211105 SAO JOAO DO PARAISO";-;-;1;1;21;19;42
"211107 SAO JOAO DO SOTER";1;3;2;3;-;1;10
"211120 SAO JOSE DE RIBAMAR";71;127;25;5;63;60;351
"211125 SAO JOSE DOS BASILIOS";4;6;-;-;-;47;57
"211130 SAO LUIS";354;326;496;132;2437;1206;4951
"211140 SAO LUIS GONZAGA DO MARANHAO";-;-;-;-;-;29;29
"211150 SAO MATEUS DO MARANHAO";60;18;4;-;18;20;120
"211153 SAO PEDRO DA AGUA BRANCA";-;26;43;9;33;-;111
"211157 SAO PEDRO DOS CRENTES";-;1;-;-;-;-;1
"211160 SAO RAIMUNDO DAS MANGABEIRAS";75;1;2;-;-;-;78
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;-;13;1;14
"211167 SAO ROBERTO";-;-;1;-;3;1;5
"211172 SATUBINHA";-;-;-;1;2;-;3
"211174 SENADOR ALEXANDRE COSTA";47;39;17;9;20;39;171
"211176 SENADOR LA ROCQUE";4;-;-;-;-;6;10
"211178 SERRANO DO MARANHAO";-;-;-;-;-;1;1
"211180 SITIO NOVO";29;49;24;22;4;15;143
"211190 SUCUPIRA DO NORTE";11;146;72;4;10;15;258
"211200 TASSO FRAGOSO";1;-;1;4;8;12;26
"211210 TIMBIRAS";30;23;29;4;4;-;90
"211223 TRIZIDELA DO VALE";6;25;85;20;3;60;199
"211227 TUFILANDIA";1;18;9;-;6;-;34
"211230 TUNTUM";100;40;121;115;25;8;409
"211240 TURIACU";25;125;105;80;94;126;555
"211270 VARGEM GRANDE";5;-;20;-;10;-;35
"211280 VIANA";5;8;4;1;3;1;22
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;-;15;4;19
"211290 VITORIA DO MEARIM";-;4;99;4;1;10;118
"211300 VITORINO FREIRE";54;48;23;1;69;60;255
"211400 ZE DOCA";34;-;4;2;30;32;102
" MUNICIPIO IGNORADO - MT";-;1;1;2;1;-;5
"510010 ACORIZAL";-;25;7;1;-;1;34
"510020 AGUA BOA";133;51;8;14;131;5;342
"510025 ALTA FLORESTA";4;44;76;30;18;47;219
"510030 ALTO ARAGUAIA";12;6;6;-;2;34;60
"510035 ALTO BOA VISTA";-;-;1;1;2;2;6
"510040 ALTO GARCAS";1;1;3;-;5;33;43
"510050 ALTO PARAGUAI";9;-;-;1;17;18;45
"510080 APIACAS";-;1;-;-;-;-;1
"510100 ARAGUAIANA";1;13;9;15;6;52;96
"510125 ARAPUTANGA";20;238;399;-;5;423;1085
"510130 ARENAPOLIS";52;36;6;-;-;18;112
"510140 ARIPUANA";1;2;-;-;-;217;220
"510160 BARAO DE MELGACO";-;4;-;-;1;-;5
"510170 BARRA DO BUGRES";68;101;40;9;24;110;352
"510180 BARRA DO GARCAS";100;282;99;930;1255;192;2858
"510190 BRASNORTE";1;140;28;4;4;189;366
"510250 CACERES";54;60;185;16;3;635;953
"510260 CAMPINAPOLIS";63;28;4;3;16;6;120
"510263 CAMPO NOVO DO PARECIS";15;446;16;5;9;140;631
"510267 CAMPO VERDE";-;42;45;20;10;73;190
"510268 CAMPOS DE JULIO";-;-;1;-;-;-;1
"510269 CANABRAVA DO NORTE";-;1;1;2;1;-;5
"510270 CANARANA";76;29;80;165;94;9;453
"510279 CARLINDA";-;2;6;-;-;1;9
"510285 CASTANHEIRA";-;1;1;-;-;-;2
"510300 CHAPADA DOS GUIMARAES";1;63;16;-;-;5;85
"510305 CLAUDIA";-;38;1;3;14;259;315
"510310 COCALINHO";-;3;-;-;-;2;5
"510320 COLIDER";-;52;6;2;4;4;68
"510325 COLNIZA";-;-;2;-;-;272;274
"510330 COMODORO";57;18;41;3;-;4;123
"510335 CONFRESA";-;-;1507;74;20;57;1658
"510336 CONQUISTA D'OESTE";-;6;2;-;1;9;18
"510337 COTRIGUACU";-;7;-;-;-;3;10
"510340 CUIABA";123;2003;2813;21;21;507;5488
"510343 CURVELANDIA";-;-;9;-;-;11;20
"510345 DENISE";8;121;9;1;-;2;141
"510350 DIAMANTINO";14;149;65;19;77;54;378
"510360 DOM AQUINO";-;2;1;6;-;3;12
"510370 FELIZ NATAL";2;1;-;-;10;79;92
"510380 FIGUEIROPOLIS D'OESTE";1;34;17;2;-;18;72
"510385 GAUCHA DO NORTE";1;12;1;11;62;7;94
"510390 GENERAL CARNEIRO";3;28;4;4;68;10;117
"510395 GLORIA D'OESTE";-;1;2;-;-;7;10
"510410 GUARANTA DO NORTE";36;71;23;27;117;16;290
"510420 GUIRATINGA";2;7;9;1;9;66;94
"510450 INDIAVAI";-;-;21;3;-;-;24
"510454 ITANHANGA";-;-;-;-;-;7;7
"510455 ITAUBA";-;12;1;-;-;3;16
"510460 ITIQUIRA";-;-;-;-;3;4;7
"510480 JACIARA";13;84;163;85;1;19;365
"510490 JANGADA";-;-;17;-;-;1;18
"510500 JAURU";82;116;61;6;2;9;276
"510510 JUARA";3;13;10;-;12;200;238
"510515 JUINA";88;220;76;2;225;155;766
"510517 JURUENA";-;-;1;-;14;3;18
"510520 JUSCIMEIRA";-;21;40;6;4;29;100
"510523 LAMBARI D'OESTE";-;47;18;8;-;20;93
"510525 LUCAS DO RIO VERDE";1;45;10;8;397;40;501
"510530 LUCIARA";-;-;6;1;-;-;7
"510550 VILA BELA DA SANTISSIMA TRINDADE";-;43;10;17;1;3;74
"510558 MARCELANDIA";2;20;3;2;82;186;295
"510560 MATUPA";1;117;133;26;80;23;380
"510562 MIRASSOL D'OESTE";40;144;76;2;1;92;355
"510590 NOBRES";-;20;1;-;8;8;37
"510600 NORTELANDIA";279;22;7;-;7;4;319
"510610 NOSSA SENHORA DO LIVRAMENTO";-;14;12;1;10;3;40
"510615 NOVA BANDEIRANTES";-;-;3;-;-;1;4
"510617 NOVA NAZARE";-;5;-;-;1;-;6
"510618 NOVA LACERDA";-;3;-;1;2;3;9
"510619 NOVA SANTA HELENA";-;6;-;-;2;-;8
"510620 NOVA BRASILANDIA";1;63;6;1;7;152;230
"510621 NOVA CANAA DO NORTE";-;8;25;-;-;5;38
"510622 NOVA MUTUM";12;89;35;10;58;76;280
"510623 NOVA OLIMPIA";10;231;5;3;3;59;311
"510624 NOVA UBIRATA";1;1;-;-;4;8;14
"510625 NOVA XAVANTINA";57;117;-;2;19;5;200
"510626 NOVO MUNDO";-;3;-;1;2;1;7
"510627 NOVO HORIZONTE DO NORTE";1;-;1;-;-;2;4
"510628 NOVO SAO JOAQUIM";-;8;-;1;37;28;74
"510629 PARANAITA";-;9;1;3;2;-;15
"510630 PARANATINGA";42;210;97;3;802;195;1349
"510637 PEDRA PRETA";1;13;2;-;29;92;137
"510642 PEIXOTO DE AZEVEDO";28;296;5;210;43;27;609
"510645 PLANALTO DA SERRA";-;11;3;-;2;1;17
"510650 POCONE";9;33;276;6;-;-;324
"510665 PONTAL DO ARAGUAIA";5;6;4;42;42;11;110
"510670 PONTE BRANCA";-;2;-;-;-;4;6
"510675 PONTES E LACERDA";199;164;146;16;3;12;540
"510677 PORTO ALEGRE DO NORTE";3;3;2;1;1;-;10
"510680 PORTO DOS GAUCHOS";2;-;25;-;-;-;27
"510682 PORTO ESPERIDIAO";-;41;35;-;-;9;85
"510685 PORTO ESTRELA";-;3;2;2;-;-;7
"510700 POXOREO";8;52;39;14;13;18;144
"510704 PRIMAVERA DO LESTE";22;185;231;37;431;284;1190
"510706 QUERENCIA";17;54;39;15;136;9;270
"510710 SAO JOSE DOS QUATRO MARCOS";163;540;77;24;2;166;972
"510715 RESERVA DO CABACAL";-;9;20;1;-;6;36
"510718 RIBEIRAO CASCALHEIRA";13;4;2;3;85;117;224
"510719 RIBEIRAOZINHO";1;-;2;-;1;1;5
"510720 RIO BRANCO";4;50;94;85;19;369;621
"510724 SANTA CARMEM";-;3;-;-;29;1;33
"510726 SANTO AFONSO";-;16;1;-;-;2;19
"510729 SAO JOSE DO POVO";3;1;-;-;-;3;7
"510730 SAO JOSE DO RIO CLARO";-;6;6;1;-;161;174
"510735 SAO JOSE DO XINGU";-;1;-;1;183;61;246
"510740 SAO PEDRO DA CIPA";2;7;13;40;-;104;166
"510757 RONDOLANDIA";-;-;-;-;2;1;3
"510760 RONDONOPOLIS";5;206;289;-;65;504;1069
"510770 ROSARIO OESTE";1;84;114;-;155;128;482
"510774 SANTA CRUZ DO XINGU";-;-;-;-;1;-;1
"510775 SALTO DO CEU";-;14;4;1;6;48;73
"510776 SANTA RITA DO TRIVELATO";-;-;-;1;-;2;3
"510777 SANTA TEREZINHA";1;-;5;-;2;-;8
"510779 SANTO ANTONIO DO LESTE";-;4;2;-;4;1;11
"510780 SANTO ANTONIO DO LEVERGER";1;47;11;-;-;5;64
"510785 SAO FELIX DO ARAGUAIA";-;1;-;-;3;8;12
"510787 SAPEZAL";24;9;5;1;1;-;40
"510788 SERRA NOVA DOURADA";-;1;-;-;-;1;2
"510790 SINOP";192;278;118;53;298;345;1284
"510792 SORRISO";45;200;23;9;520;831;1628
"510794 TABAPORA";-;-;2;-;663;12;677
"510795 TANGARA DA SERRA";66;351;75;5;52;468;1017
"510800 TAPURAH";3;28;3;-;12;19;65
"510805 TERRA NOVA DO NORTE";1;20;1;2;7;2;33
"510810 TESOURO";-;1;-;-;1;-;2
"510820 TORIXOREU";70;10;-;1;4;1;86
"510830 UNIAO DO SUL";-;-;2;3;10;1;16
"510835 VALE DE SAO DOMINGOS";-;-;-;-;2;-;2
"510840 VARZEA GRANDE";53;512;1286;141;69;414;2475
"510850 VERA";62;90;5;2;137;258;554
"510860 VILA RICA";88;49;100;92;38;38;405
"510880 NOVA GUARITA";1;4;1;2;-;-;8
"510885 NOVA MARILANDIA";11;18;4;-;1;4;38
"510890 NOVA MARINGA";-;-;2;-;1;46;49
"510895 NOVA MONTE VERDE";-;-;1;-;-;-;1
"Total";58612;36315;42727;23263;37722;33755;232394
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan 
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
    pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados em série histórica selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
    em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados
    com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: série histórica de nº de casos, 2001 a 2005:
    selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos disponíveis-2001 até o ano atual e
    em Seleções assinale Ano de 1ºs sintomas de 2001 a 2005).
 Para cálculo da incidência utilize locais de residência.
 
